,wave_1,wave_2,wave_3,wave_4,wave_5,wave_6,wave_7
date issued,2016-01-13,2016-07-22,2017-02-21,2017-08-21,2018-02-21,2018-11-15,2019-05-14
date enforcement,2016-03-01,2016-08-28,2017-02-24,2017-08-23,2018-02-24,2018-11-17,2019-05-16
36061,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,300000,300000
12086,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,300000,300000
48029,,500000.0,500000.0,500000.0,500000.0,300000,300000
12011,,1000000.0,1000000.0,1000000.0,1000000.0,300000,300000
12099,,1000000.0,1000000.0,1000000.0,1000000.0,300000,300000
36005,,1500000.0,1500000.0,1500000.0,1500000.0,300000,300000
36047,,1500000.0,1500000.0,1500000.0,1500000.0,300000,300000
36081,,1500000.0,1500000.0,1500000.0,1500000.0,300000,300000
36085,,1500000.0,1500000.0,1500000.0,1500000.0,300000,300000
06073,,2000000.0,2000000.0,2000000.0,2000000.0,300000,300000
06037,,2000000.0,2000000.0,2000000.0,2000000.0,300000,300000
06075,,2000000.0,2000000.0,2000000.0,2000000.0,300000,300000
06081,,2000000.0,2000000.0,2000000.0,2000000.0,300000,300000
06085,,2000000.0,2000000.0,2000000.0,2000000.0,300000,300000
15003,,,,3000000.0,3000000.0,300000,300000
48439,,,,,,300000,300000
48113,,,,,,300000,300000
32003,,,,,,300000,300000
53033,,,,,,300000,300000
25025,,,,,,300000,300000
25017,,,,,,300000,300000
17031,,,,,,300000,300000
