DATE,price
1996-01-31,106884.0
1996-02-29,106911.0
1996-03-31,106962.0
1996-04-30,107087.0
1996-05-31,107230.0
1996-06-30,107398.0
1996-07-31,107565.0
1996-08-31,107776.0
1996-09-30,107991.0
1996-10-31,108247.0
1996-11-30,108497.0
1996-12-31,108768.0
1997-01-31,108953.0
1997-02-28,109186.0
1997-03-31,109437.0
1997-04-30,109762.0
1997-05-31,110092.0
1997-06-30,110401.0
1997-07-31,110734.0
1997-08-31,111031.0
1997-09-30,111344.0
1997-10-31,111623.0
1997-11-30,111975.0
1997-12-31,112361.0
1998-01-31,112936.0
1998-02-28,113466.0
1998-03-31,113975.0
1998-04-30,114319.0
1998-05-31,114691.0
1998-06-30,115073.0
1998-07-31,115484.0
1998-08-31,115948.0
1998-09-30,116471.0
1998-10-31,117032.0
1998-11-30,117513.0
1998-12-31,117941.0
1999-01-31,118310.0
1999-02-28,118785.0
1999-03-31,119312.0
1999-04-30,119935.0
1999-05-31,120530.0
1999-06-30,121204.0
1999-07-31,121891.0
1999-08-31,122516.0
1999-09-30,123077.0
1999-10-31,123633.0
1999-11-30,124299.0
1999-12-31,124997.0
2000-01-31,125721.0
2000-02-29,126438.0
2000-03-31,127159.0
2000-04-30,127896.0
2000-05-31,128632.0
2000-06-30,129346.0
2000-07-31,130059.0
2000-08-31,130816.0
2000-09-30,131612.0
2000-10-31,132414.0
2000-11-30,133235.0
2000-12-31,134087.0
2001-01-31,134931.0
2001-02-28,135715.0
2001-03-31,136492.0
2001-04-30,137281.0
2001-05-31,138077.0
2001-06-30,138847.0
2001-07-31,139601.0
2001-08-31,140364.0
2001-09-30,141134.0
2001-10-31,141917.0
2001-11-30,142671.0
2001-12-31,143409.0
2002-01-31,144147.0
2002-02-28,144918.0
2002-03-31,145706.0
2002-04-30,146492.0
2002-05-31,147289.0
2002-06-30,148128.0
2002-07-31,149009.0
2002-08-31,149910.0
2002-09-30,150805.0
2002-10-31,151725.0
2002-11-30,152678.0
2002-12-31,153664.0
2003-01-31,154634.0
2003-02-28,155589.0
2003-03-31,156527.0
2003-04-30,157470.0
2003-05-31,158420.0
2003-06-30,159346.0
2003-07-31,160281.0
2003-08-31,161277.0
2003-09-30,162362.0
2003-10-31,163500.0
2003-11-30,164638.0
2003-12-31,165772.0
2004-01-31,166974.0
2004-02-29,168279.0
2004-03-31,169669.0
2004-04-30,171063.0
2004-05-31,172539.0
2004-06-30,174086.0
2004-07-31,175725.0
2004-08-31,177337.0
2004-09-30,178942.0
2004-10-31,180532.0
2004-11-30,182142.0
2004-12-31,183827.0
2005-01-31,185558.0
2005-02-28,187293.0
2005-03-31,188997.0
2005-04-30,190783.0
2005-05-31,192586.0
2005-06-30,194468.0
2005-07-31,196370.0
2005-08-31,198295.0
2005-09-30,200216.0
2005-10-31,202033.0
2005-11-30,203769.0
2005-12-31,205335.0
2006-01-31,206734.0
2006-02-28,208004.0
2006-03-31,209241.0
2006-04-30,210413.0
2006-05-31,211492.0
2006-06-30,212388.0
2006-07-31,213085.0
2006-08-31,213608.0
2006-09-30,213926.0
2006-10-31,214154.0
2006-11-30,214297.0
2006-12-31,214379.0
2007-01-31,214445.0
2007-02-28,214461.0
2007-03-31,214422.0
2007-04-30,214289.0
2007-05-31,213976.0
2007-06-30,213516.0
2007-07-31,212899.0
2007-08-31,212305.0
2007-09-30,211599.0
2007-10-31,210807.0
2007-11-30,209829.0
2007-12-31,208801.0
2008-01-31,207601.0
2008-02-29,206171.0
2008-03-31,204553.0
2008-04-30,202804.0
2008-05-31,201097.0
2008-06-30,199374.0
2008-07-31,197662.0
2008-08-31,195813.0
2008-09-30,194042.0
2008-10-31,192259.0
2008-11-30,190424.0
2008-12-31,188523.0
2009-01-31,186674.0
2009-02-28,185125.0
2009-03-31,183631.0
2009-04-30,182178.0
2009-05-31,180754.0
2009-06-30,179534.0
2009-07-31,178589.0
2009-08-31,177802.0
2009-09-30,177127.0
2009-10-31,176599.0
2009-11-30,176383.0
2009-12-31,176285.0
2010-01-31,176221.0
2010-02-28,176023.0
2010-03-31,175875.0
2010-04-30,175839.0
2010-05-31,175760.0
2010-06-30,175477.0
2010-07-31,174790.0
2010-08-31,173970.0
2010-09-30,173022.0
2010-10-31,172092.0
2010-11-30,171057.0
2010-12-31,170085.0
2011-01-31,169116.0
2011-02-28,168200.0
2011-03-31,167236.0
2011-04-30,166205.0
2011-05-31,165176.0
2011-06-30,164286.0
2011-07-31,163671.0
2011-08-31,163222.0
2011-09-30,162890.0
2011-10-31,162525.0
2011-11-30,162202.0
2011-12-31,161886.0
2012-01-31,161677.0
2012-02-29,161549.0
2012-03-31,161622.0
2012-04-30,161858.0
2012-05-31,162246.0
2012-06-30,162659.0
2012-07-31,163123.0
2012-08-31,163642.0
2012-09-30,164239.0
2012-10-31,164932.0
2012-11-30,165729.0
2012-12-31,166599.0
2013-01-31,167573.0
2013-02-28,168598.0
2013-03-31,169728.0
2013-04-30,170904.0
2013-05-31,172145.0
2013-06-30,173441.0
2013-07-31,174771.0
2013-08-31,176106.0
2013-09-30,177399.0
2013-10-31,178623.0
2013-11-30,179727.0
2013-12-31,180748.0
2014-01-31,181703.0
2014-02-28,182624.0
2014-03-31,183352.0
2014-04-30,183952.0
2014-05-31,184493.0
2014-06-30,185092.0
2014-07-31,185680.0
2014-08-31,186192.0
2014-09-30,186694.0
2014-10-31,187282.0
2014-11-30,187997.0
2014-12-31,188748.0
2015-01-31,189467.0
2015-02-28,190207.0
2015-03-31,191069.0
2015-04-30,191963.0
2015-05-31,192869.0
2015-06-30,193676.0
2015-07-31,194475.0
2015-08-31,195327.0
2015-09-30,196211.0
2015-10-31,197074.0
2015-11-30,197854.0
2015-12-31,198715.0
2016-01-31,199652.0
2016-02-29,200613.0
2016-03-31,201464.0
2016-04-30,202351.0
2016-05-31,203253.0
2016-06-30,204234.0
2016-07-31,205236.0
2016-08-31,206251.0
2016-09-30,207273.0
2016-10-31,208303.0
2016-11-30,209405.0
2016-12-31,210478.0
2017-01-31,211532.0
2017-02-28,212559.0
2017-03-31,213664.0
2017-04-30,214818.0
2017-05-31,215967.0
2017-06-30,217122.0
2017-07-31,218232.0
2017-08-31,219368.0
2017-09-30,220551.0
2017-10-31,221799.0
2017-11-30,223080.0
2017-12-31,224343.0
2018-01-31,225549.0
2018-02-28,226787.0
2018-03-31,228020.0
2018-04-30,229265.0
2018-05-31,230453.0
2018-06-30,231582.0
2018-07-31,232675.0
2018-08-31,233716.0
2018-09-30,234698.0
2018-10-31,235618.0
2018-11-30,236517.0
2018-12-31,237402.0
2019-01-31,238266.0
2019-02-28,239020.0
2019-03-31,239655.0
2019-04-30,240258.0
2019-05-31,240894.0
2019-06-30,241609.0
2019-07-31,242352.0
2019-08-31,243115.0
2019-09-30,243904.0
2019-10-31,244717.0
2019-11-30,245527.0
2019-12-31,246370.0
2020-01-31,247274.0
2020-02-29,248268.0
2020-03-31,249365.0
2020-04-30,250492.0
