DATE,rentals
2014-01,1254
2014-02,1262
2014-03,1265
2014-04,1279
2014-05,1293
2014-06,1304
2014-07,1313
2014-08,1317
2014-09,1317
2014-10,1316
2014-11,1315
2014-12,1315
2015-01,1319
2015-02,1326
2015-03,1335
2015-04,1347
2015-05,1357
2015-06,1366
2015-07,1372
2015-08,1376
2015-09,1377
2015-10,1376
2015-11,1376
2015-12,1375
2016-01,1380
2016-02,1387
2016-03,1396
2016-04,1406
2016-05,1417
2016-06,1424
2016-07,1426
2016-08,1429
2016-09,1428
2016-10,1427
2016-11,1425
2016-12,1424
2017-01,1427
2017-02,1432
2017-03,1440
2017-04,1449
2017-05,1458
2017-06,1465
2017-07,1471
2017-08,1472
2017-09,1464
2017-10,1463
2017-11,1465
2017-12,1465
2018-01,1469
2018-02,1475
2018-03,1484
2018-04,1494
2018-05,1505
2018-06,1514
2018-07,1519
2018-08,1521
2018-09,1520
2018-10,1519
2018-11,1520
2018-12,1519
2019-01,1522
2019-02,1529
2019-03,1539
2019-04,1549
2019-05,1561
2019-06,1570
2019-07,1576
2019-08,1577
2019-09,1575
2019-10,1572
2019-11,1570
2019-12,1568
2020-01,1574
2020-02,1583
2020-03,1592
2020-04,1594
